t,phase,target_deg,yaw_deg,gyro,az_cmd,rpm1,rpm2
0.0097931599993899,HOLD,0.0,0.0011476359285384952,0.0020453077013371512,-0.0010781956429042525,0.0,0.0
0.025820376999035943,HOLD,0.0,0.0020241243514170374,0.0009544769272906706,-0.0012829545131362277,0.0,0.0
0.046093393000774086,HOLD,0.0,0.003132804905423846,0.0009544769272906706,-0.001321654765176735,0.0,0.0
0.05474632199911866,HOLD,0.0,0.0036060119563551796,0.0009544769272906706,-0.0013381728073415435,0.0,0.0
0.07264550300169503,HOLD,0.0,0.005703572213846127,0.0020453077013371512,-0.0019870547045143616,0.0,0.0
0.09409829699870897,HOLD,0.0,0.008217571490896839,0.0020453077013371512,-0.002074809834068946,0.0,0.0
0.09795214100086014,HOLD,0.0,0.008669193831400496,0.0020453077013371512,-0.0020905744277036494,0.0,0.0
0.11194897899986245,HOLD,0.0,0.009434645903541462,0.0009544769272906706,-0.0021414920212699416,0.0,0.0
0.13224870799967903,HOLD,0.0,0.010544787324619368,0.0009544769272906706,-0.0021802432671910984,0.0,0.0
0.14481399000214878,HOLD,0.0,0.01123195117880641,0.0009544769272906706,-0.0022042298107036143,0.0,0.0
0.16508904399961466,HOLD,0.0,0.012340743185703714,0.0009544769272906706,-0.002242933953183922,0.0,0.0
0.1853136710014951,HOLD,0.0,0.013446777466301303,0.0009544769272906706,-0.0022815418328566315,0.0,0.0
0.1928892479991191,HOLD,0.0,0.02569790569618484,0.028225246045622043,-0.013636853150153084,0.0,0.0
0.21315003400013666,HOLD,0.0,0.05846339503310871,0.028225246045622043,-0.014780584490065914,0.0,0.0
0.22478803800186142,HOLD,0.0,0.07728422932860143,0.028225246045622043,-0.015437555542923144,-3.2831737995147705,-3.5567715167999268
0.23987075599870877,HOLD,0.0,0.09036377394138022,0.015135277222725563,-0.01940026326439788,-3.2831737995147705,-3.5567715167999268
0.26012904199888,HOLD,0.0,0.10793150646631744,0.015135277222725563,-0.020013492813737585,-3.2831737995147705,-3.5567715167999268
0.2687747390009463,HOLD,0.0,0.11542894689255434,0.015135277222725563,-0.020275202855557506,-3.2831737995147705,-3.5567715167999268
0.2868573939995258,HOLD,0.0,0.11189717824488941,-0.003408846285310574,-0.015539187857834754,-3.2831737995147705,-3.5567715167999268
0.3071439119994466,HOLD,0.0,0.10793496759340938,-0.003408846285310574,-0.015400880614782921,-3.2831737995147705,-3.5567715167999268
0.3157746639990364,HOLD,0.0,0.10624927379897946,-0.003408846285310574,-0.015342038800996443,-3.2831737995147705,-3.5567715167999268
0.33084715099903406,HOLD,0.0,0.1381605536167395,0.036951891306671314,-0.028910061228413993,-3.2831737995147705,-3.5567715167999268
0.35112185400066664,HOLD,0.0,0.1810858996931487,0.036951891306671314,-0.030408438471596733,-3.2831737995147705,-3.5567715167999268
0.3597936820005998,HOLD,0.0,0.19944578481611458,0.036951891306671314,-0.031049319362964088,-9.302325248718262,-7.924203395843506
0.37782264099951135,HOLD,0.0,0.24099689985475264,0.04022438374522608,-0.04377201076876616,-9.302325248718262,-7.924203395843506
0.39808206599991536,HOLD,0.0,0.28768854183248793,0.04022438374522608,-0.045401856540113916,-9.302325248718262,-7.924203395843506
0.40676957899995614,HOLD,0.0,0.30771054377315193,0.04022438374522608,-0.04610075625352448,-9.302325248718262,-7.924203395843506
0.42184863000147743,HOLD,0.0,0.31984446743136585,0.014044446099433117,-0.04507016213341323,-9.302325248718262,-7.924203395843506
0.44211504600025364,HOLD,0.0,0.3361525987938732,0.014044446099433117,-0.04563942330766023,-9.302325248718262,-7.924203395843506
0.4537417989995447,HOLD,0.0,0.3455085014479643,0.014044446099433117,-0.04596600591928016,-9.302325248718262,-7.924203395843506
0.4740019279997796,HOLD,0.0,0.361811573741414,0.014044446099433117,-0.046535090498702886,-9.302325248718262,-7.924203395843506
0.49422213900106726,HOLD,0.0,0.3780825245206009,0.014044446099433117,-0.04710305382575638,-9.302325248718262,-7.924203395843506
0.5008634940022603,HOLD,0.0,0.38176640122718414,0.009681123468908481,-0.04432299796255798,-9.302325248718262,-7.924203395843506
0.5211321770002542,HOLD,0.0,0.393009186646126,0.009681123468908481,-0.044715445207869464,-9.302325248718262,-7.924203395843506
0.5297970600004192,HOLD,0.0,0.39781548907143577,0.009681123468908481,-0.04488321681220596,-7.9343366622924805,-7.1135430335998535
0.5448527410007955,HOLD,0.0,0.40993060718215496,0.014044446099433117,-0.04472452533002933,-7.9343366622924805,-7.1135430335998535
0.5651218310013064,HOLD,0.0,0.42624089028039863,0.014044446099433117,-0.045293861614022796,-7.9343366622924805,-7.1135430335998535
