vx,cmd_rpm,win_lo_s,win_hi_s,m1_rpm,m2_rpm,tracking_pct,battery_v
0.04,7.638446849140676,0.5,1.0,3.677006459236145,4.423138356208801,53.022197937766705,14.371912002563477
0.04,7.638446849140676,1.0,2.0,3.6397283247538974,3.6436669187886372,47.67589136502217,14.371912002563477
0.04,7.638446849140676,2.0,3.0,3.4069053292274476,4.393969839811325,51.06322871066629,14.371912002563477
0.04,7.638446849140676,4.0,6.0,5.991138898190998,1.2094028436002278,47.13354615147506,14.371912002563477
0.04,7.638446849140676,6.0,8.0,6.421392418089367,5.101981997489929,75.43008836197946,14.371912002563477
0.04,7.638446849140676,8.0,10.0,7.0765144970358875,6.418134683515968,88.33372442769567,14.371912002563477
0.06,11.457670273711013,0.5,1.0,5.066473340988159,4.557943785190583,41.99988695896334,14.3834228515625
0.06,11.457670273711013,1.0,2.0,5.4288026832398915,5.188758476859047,46.333857173653975,14.3834228515625
0.06,11.457670273711013,2.0,3.0,5.029619055986404,5.093695032596588,44.177017869899665,14.3834228515625
0.06,11.457670273711013,4.0,6.0,6.057216975747085,6.093204024361401,53.02308719769564,14.3834228515625
0.06,11.457670273711013,6.0,8.0,12.518189406976468,12.61163585941966,109.66376525974533,14.3834228515625
0.06,11.457670273711013,8.0,10.0,10.639609098434448,10.294449496269227,91.35390570077631,14.3834228515625
0.08,15.276893698281352,0.5,1.0,5.128760522603988,5.170765459537506,33.70949024571726,14.384634017944336
0.08,15.276893698281352,1.0,2.0,6.9941469669342045,7.082827401161194,46.07276402557889,14.384634017944336
0.08,15.276893698281352,2.0,3.0,6.613648891448975,6.595779013633728,43.23335674767692,14.384634017944336
0.08,15.276893698281352,4.0,6.0,13.361843427022299,13.029003892626081,86.37504403993249,14.384634017944336
0.08,15.276893698281352,6.0,8.0,16.754977385203045,16.42536124728975,108.5964833159295,14.384634017944336
0.08,15.276893698281352,8.0,10.0,16.76115496565656,16.375359302613795,108.45304982385981,14.384634017944336
0.12,22.915340547422026,0.5,1.0,9.768928441134365,9.687704042954879,42.45329115625584,14.384027481079102
0.12,22.915340547422026,1.0,2.0,8.650784730911255,8.429666924476624,37.26859659807549,14.384027481079102
0.12,22.915340547422026,2.0,3.0,15.404861858912877,14.74842003413609,65.79278590830545,14.384027481079102
0.12,22.915340547422026,4.0,6.0,25.065515790666854,24.478201729910715,108.1016392011491,14.384027481079102
0.12,22.915340547422026,6.0,8.0,23.67719017587057,23.161858535394437,102.2002021186074,14.384027481079102
0.12,22.915340547422026,8.0,10.0,22.74901836674388,22.259063162454744,98.20513344773754,14.384027481079102
